Timestamp,Subject (i.e. PBPL),Course Name (i.e. Housing Policy),Course Number (i.e. PBPL 177),Discussion Section,Professor Name,Quarter/Year Taken (i.e. Spring 2025),Upper- or Lower-Division,In-Person / Hybrid / Online,Textbook Required?,Reading Load,Workload,"On average, how demanding was this course?","If you want to explain your answer, describe the type of work (readings, writing, exams, group work, etc.)",Overall Difficulty (1–5 scale),Professor Review,Would You Recommend This Class?,"Any Survival Tips? (Ex: “start readings early,” “go to section,” ""take detailed notes"")"
1/25/2026 1:36:52,PBPL,Law & Justice Policy,PBPL 184,No,Professor Ramos,Winter 2025,Upper Division,In Person,"Yes but don’t buy it (online, pdf, not necessary)",Light,Light,Minimal work outside of class,,1,Professor Ramos is amazing! He really takes the time to engage with the students and is super friendly and nice. He also writes letters of rec for anyone who asks. ,Yes,Participate in class. He doesn't believe in grading through work so all your grade is based off of how much you talk in class. 
1/25/2026 9:36:59,GBST,Global Migrations and Movements,GBST 110,No,Selin Nielsen,Fall 2025,Upper Division,In Person,No,Light,Light,Minimal work outside of class,"One page written reflection each week, one in-person midterm (20 multiple choice 5 short answer), and one in-person final (20 multiple choice 5 short answer)",1,"Dr. Selin Nielsen is such an amazing professor, she really cares about her students and the class is mostly guest lecturers. She wrote me a letter or recommendation too she is awesome.",Yes,Just participate a few times and show her you're interested in the class.
1/25/2026 14:54:13,PBPL,HEALTH IN ALL POLICIES,PBPL 162,No,Link,Winter 2025,Upper Division,In Person,No,Heavy,Moderate,Manageable weekly workload,"Weekly quizzes, discussion section was replaced by Wednesday in person quizzes (mandatory and added to your participation grade), one essay + take home final towards the end of the quarter",2,Professor Link was very sweet. Kind of hard to keep my focus but the material was very interesting. ,Only with certain professors,
1/26/2026 15:48:33,PHIL,Ethics and the Meaning of Life,PHIL 003W,Yes,Kim Frost,Fall 2023,Lower Division,In Person,No,Moderate,Moderate,Manageable weekly workload,The essays take the most time (obviously) and the required readings + assignments prior to the discussion sections are kinda annoying but it's whatever ,3,Goated love this man,Yes,
1/26/2026 15:50:51,POSC,World Politics,POSC 020,Yes,Jeremy Busacca,Fall 2023,Lower Division,In Person,"Yes but don’t buy it (online, pdf, not necessary)",Heavy,Moderate,Very time-intensive,a LOT of readings and essays that are graded hella weirdly,5,EVIL EVIL EVIL EVIL EVIL EVIL EVIL EVIL EVIL EVIL,Only with certain professors,drop if you see busacca
1/26/2026 15:56:15,MATH,Intro to College Math for Business and Social Sciences,MATH 004,Yes,Kevin Costello,Fall 2023,Lower Division,In Person,Yes,Light,Moderate,Manageable weekly workload,Weekly homework assignments,2,He's okay i guess he kinda reminds me of the guy that bought a hummer in better caul saul,Yes,
1/26/2026 15:58:47,CS,Introduction to Computing,CS 008,No,Gustafson,Winter 2024,Lower Division,Online,No,Light,Light,Minimal work outside of class,A few heavily weighted but easy assignments throughout the quarter,1,chill guy he just reads the slides and then shares them,Yes,"you don't even have to go to lecture, just do the assignments and ctrl+f through the slides during the quizzes"
1/26/2026 16:01:10,ECON,Introduction to Macroeconomics,ECON 002,Yes,Jeff Allen,Winter 2024,Lower Division,In Person,"Yes but don’t buy it (online, pdf, not necessary)",Light,Moderate,Time-consuming but doable,maybe i just sucked at econ but like the homework assignments lowkey took a while,4,jeff allen is a chill guy 10/10,Yes,
1/26/2026 16:02:42,POSC,Politics of the Underdeveloped World,POSC 017,Yes,Carreras,Winter 2024,Lower Division,In Person,"Yes but don’t buy it (online, pdf, not necessary)",Heavy,Moderate,Very time-intensive,,5,"EVIL EVIL EVIL EVIL PT 2, heavy accent, vague slides, constantly goes off topic, and when i took it it was a 3 hour lecture once a week",No,drop
1/26/2026 16:04:41,AHS,Arts of Asia,AHS 015,Yes,Cho,Spring 2024,Lower Division,In Person,"Yes but don’t buy it (online, pdf, not necessary)",Moderate,Moderate,Very time-intensive,"Big assignments, hella reading",4,"boring, doesn't really explain how to do well in the class",No,dont take this unless you have to or unless you like tweaking over irrelevant classes
1/27/2026 11:21:44,POSC,US Congress,POSC 101,No,Matthew Allen,Fall 2025,Upper Division,In Person,No,Moderate,Light,Minimal work outside of class,there only is one paper but it is divided into 3 different parts,3,"he is awesome, chill, and doesn't really care too much but submitted the grades 4 weeks after finals week ",Yes,work on the paper asap
1/27/2026 11:26:45,HIST,World History the Long Twenty Century ,HIST 020,Yes,Juliette Levy,Fall 2025,Lower Division,Online,"Yes but don’t buy it (online, pdf, not necessary)",Light,Moderate,Time-consuming but doable,there are weekly discussions on canvas and projects every other week,3,she just has podcasts up for the lectures and she is chill,Yes,work hard on the projects and get a good ta who grades easily
1/27/2026 14:02:52,ENSC,NTRODUCTION TO ENVIRONMENTAL SCIENCE: NATURAL RESOURCES,ENSC 001,Yes,Lindsay McCulloch,Fall 2025,Lower Division,In Person,"Yes but don’t buy it (online, pdf, not necessary)",Moderate,Moderate,Minimal work outside of class,in the discussion there are debates that you have to present twice,3,she is chill and gives extra credit but you have to lock in for the 2 midterms and final,Yes,
2/2/2026 9:37:35,PHIL,Philosophy of Phycology ,PHIL 159,No,Kim Frost,Winter 2026,Upper Division,In Person,No,Moderate,Moderate,Manageable weekly workload,,4,super understanding & friendly,Yes,
